id,class_1,class_2,class_3,class_4,class_5,class_1_percent,class_2_percent,class_3_percent,class_4_percent,class_5_percent,decibel_reading,record_datetime,created_at
22337,Animal,Bird,Wild animals,Dog,"Domestic animals, pets",0.585938,0.261719,0.199219,0.148438,0.148438,-56.6839,2024-04-01 17:21:17,2024-04-01 21:21:17
22338,Animal,"Domestic animals, pets",Wild animals,Dog,Fowl,0.414062,0.199219,0.148438,0.0820312,0.0820312,-55.9887,2024-04-01 17:21:18,2024-04-01 21:21:18
22339,Speech,Animal,Wild animals,"Outside, rural or natural",Bird,0.332031,0.0585938,0.0429688,0.03125,0.03125,-58.4874,2024-04-01 17:21:19,2024-04-01 21:21:19
22340,Speech,Silence,Bird,Animal,"Bird vocalization, bird call, bird song",0.199219,0.109375,0.0585938,0.0585938,0.0429688,-60.4815,2024-04-01 17:21:20,2024-04-01 21:21:20
22341,Frog,Wild animals,Animal,Radio,Croak,0.199219,0.109375,0.109375,0.109375,0.0585938,-56.5048,2024-04-01 17:21:21,2024-04-01 21:21:21
22342,Bird,Wild animals,Animal,"Bird vocalization, bird call, bird song","Chirp, tweet",0.261719,0.199219,0.199219,0.148438,0.0585938,-55.9887,2024-04-01 17:21:22,2024-04-01 21:21:22
22343,Animal,Bird,Wild animals,"Pigeon, dove","Bird vocalization, bird call, bird song",0.738281,0.738281,0.667969,0.199219,0.148438,-56.6839,2024-04-01 17:21:23,2024-04-01 21:21:23
22344,Speech,Animal,"Inside, small room","Domestic animals, pets",Wild animals,0.5,0.0429688,0.03125,0.03125,0.0195312,-56.5048,2024-04-01 17:21:24,2024-04-01 21:21:24
22345,Animal,Turkey,Gobble,Bird,Wild animals,0.738281,0.585938,0.414062,0.414062,0.414062,-57.2445,2024-04-01 17:21:25,2024-04-01 21:21:25
22346,Speech,"Roaring cats (lions, tigers)",Roar,Animal,Silence,0.148438,0.109375,0.0820312,0.0820312,0.0585938,-57.8437,2024-04-01 17:21:26,2024-04-01 21:21:26
22347,Animal,"Domestic animals, pets",Dog,Speech,Bark,0.199219,0.148438,0.109375,0.0820312,0.0585938,-59.1827,2024-04-01 17:21:27,2024-04-01 21:21:27
22348,Speech,Dog,Animal,"Domestic animals, pets",Bark,0.148438,0.0585938,0.0585938,0.0585938,0.0429688,-58.7131,2024-04-01 17:21:28,2024-04-01 21:21:28
22349,Speech,Animal,Bird,Wild animals,"Outside, rural or natural",0.148438,0.148438,0.0820312,0.0820312,0.0585938,-57.2445,2024-04-01 17:21:29,2024-04-01 21:21:29
22350,Speech,Animal,Bird,Wild animals,Turkey,0.199219,0.109375,0.0820312,0.0820312,0.0429688,-58.9447,2024-04-01 17:21:30,2024-04-01 21:21:30
22351,Speech,Animal,"Inside, small room","Domestic animals, pets","Child speech, kid speaking",0.414062,0.0429688,0.0195312,0.0195312,0.0195312,-57.8437,2024-04-01 17:21:31,2024-04-01 21:21:31
22352,Animal,"Domestic animals, pets",Dog,Fowl,"Livestock, farm animals, working animals",0.414062,0.148438,0.109375,0.109375,0.109375,-59.1827,2024-04-01 17:21:32,2024-04-01 21:21:32
22353,Animal,Bird,Wild animals,Turkey,Fowl,0.738281,0.332031,0.261719,0.199219,0.199219,-56.6839,2024-04-01 17:21:33,2024-04-01 21:21:33
22354,Animal,Speech,Wild animals,"Domestic animals, pets",Bird,0.261719,0.148438,0.109375,0.109375,0.0820312,-56.5048,2024-04-01 17:21:34,2024-04-01 21:21:34
22355,Speech,"Domestic animals, pets",Animal,Dog,Bark,0.148438,0.109375,0.109375,0.0820312,0.0585938,-57.2445,2024-04-01 17:21:35,2024-04-01 21:21:35
22356,Animal,Wild animals,Bird,Speech,Fowl,0.261719,0.109375,0.0820312,0.0820312,0.0585938,-56.1573,2024-04-01 17:21:36,2024-04-01 21:21:36
22357,Speech,Animal,"Inside, small room",Wild animals,"Domestic animals, pets",0.5,0.0429688,0.0195312,0.015625,0.015625,-56.8668,2024-04-01 17:21:37,2024-04-01 21:21:37
22358,"Roaring cats (lions, tigers)",Stomach rumble,Roar,Animal,Wild animals,0.5,0.414062,0.332031,0.332031,0.199219,-57.8437,2024-04-01 17:21:38,2024-04-01 21:21:38
22359,Animal,Dog,"Domestic animals, pets",Wild animals,Bark,0.414062,0.199219,0.148438,0.109375,0.109375,-60.2057,2024-04-01 17:21:39,2024-04-01 21:21:39
